127.0.0.1 - - [15/Feb/2021:11:29:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:11:29:36 +0900] "GET /Jsp01_MyBoard/ HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [15/Feb/2021:11:29:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2021:11:29:39 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [15/Feb/2021:11:30:40 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [15/Feb/2021:11:30:42 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [15/Feb/2021:12:09:37 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [15/Feb/2021:12:09:38 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [15/Feb/2021:12:09:42 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [15/Feb/2021:12:20:36 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:38:43 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:38:45 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:38:46 +0900] "GET /Jsp01_MyBoard/myinsert.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:39:17 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:40:13 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:40:30 +0900] "GET /Jsp01_MyBoard/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:40:32 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:40:32 +0900] "GET /Jsp01_MyBoard/myinsert.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:40:35 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:16 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:18 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:20 +0900] "POST /Jsp01_MyBoard/myinsertres.jsp HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:33 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:34 +0900] "GET /Jsp01_MyBoard/myinsert.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:36 +0900] "POST /Jsp01_MyBoard/myinsert_res.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:37 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:41:39 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=2 HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:46:34 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [15/Feb/2021:13:46:36 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:09:21 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=2 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:09:22 +0900] "GET /Jsp01_MyBoard/myupdate.jsp?seq=2 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:09:31 +0900] "POST /Jsp01_MyBoard/myupdate_res.jsp HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:09:32 +0900] "GET /Jsp01_MyBoard/myupdate.jsp?seq=2 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:10:44 +0900] "GET /Jsp01_MyBoard/myupdate.jsp?seq=2 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:10:45 +0900] "GET /Jsp01_MyBoard/myupdate.jsp?seq=2 HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:10:52 +0900] "POST /Jsp01_MyBoard/myupdate_res.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:10:53 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=2 HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:10:54 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:01 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=2 HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:03 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:03 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:03 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:03 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=2 HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:04 +0900] "GET /Jsp01_MyBoard/mydelete.jsp?seq=2 HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:05 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:06 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=1 HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:07 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:10 +0900] "GET /Jsp01_MyBoard/myinsert.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:19 +0900] "POST /Jsp01_MyBoard/myinsert_res.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:20 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:23 +0900] "GET /Jsp01_MyBoard/myselect.jsp?seq=3 HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:18:24 +0900] "GET /Jsp01_MyBoard/mylist.jsp HTTP/1.1" 200 966
